,profile_id,first_name,middle_name,last_name,is_contact_pi,full_name,title,appl_id,project_serial_num,last_name_initials
108,1871355,James,F,Padbury,True,James F Padbury,,10692870,GM115677,Padbury FJ
22,2094438,James,STEVEN,Leeder,False,James Steven Leeder,,10674055,TR002366,Leeder SJ
52,2094438,James,STEVEN,Leeder,False,James Steven Leeder,,10702087,TR002366,Leeder SJ
12,14760004,Jan,Kirk,Carney,True,Jan Kirk Carney,PROFESSOR,10552032,CA271329,Carney KJ
95,14760004,Jan,Kirk,Carney,True,Jan Kirk Carney,,10675587,GM115516,Carney KJ
110,14842288,Jane ,,Chung-Do,True,Jane   Chung-Do,,10707350,MD007601,Chung-Do J
46,7989301,Jane,C,Burns,True,Jane C Burns,PROFESSOR,10732857,HD105590,Burns CJ
116,7989301,Jane,C,Burns,True,Jane C Burns,PROFESSOR,10847801,HD105590,Burns CJ
87,7989301,Jane,C,Burns,True,Jane C Burns,PROFESSOR,10849054,HD105590,Burns CJ
133,9880583,Janis,E,Campbell,True,Janis E Campbell,PROFESSOR,10721317,GM104938,Campbell EJ
38,9017092,Jannette,Yvonne,Berkley-Patton,True,Jannette Yvonne Berkley-Patton,ASSOCIATE PROFESSOR,10602549,DK124664,Berkley-Patton YJ
85,1986828,Jason,H,Karlawish,True,Jason H Karlawish,,10673663,AG063546,Karlawish HJ
42,1891757,Jeffrey,D,Milbrandt,True,Jeffrey D Milbrandt,PROFESSOR OF GENETICS,10632003,HD103525,Milbrandt DJ
123,1902944,Jennifer,DAVID,Peck,True,Jennifer David Peck,PROFESSOR,10721314,GM104938,Peck DJ
114,2452418,Jerris,Robert,Hedges,True,Jerris Robert Hedges,DEAN,10707339,MD007601,Hedges RJ
92,2452418,Jerris,Robert,Hedges,True,Jerris Robert Hedges,DEAN,10707340,MD007601,Hedges RJ
29,8552192,Jesse,,Nodora,False,Jesse  Nodora,ASSISTANT PROFESSOR,10689096,CA233314,Nodora J
3,11288941,Jesse,Vincent,Jokerst,True,Jesse Vincent Jokerst,PROFESSOR,10542349,DE031114,Jokerst VJ
163,7183593,Jianying,,Zhang,True,Jianying  Zhang,"MD, M.P.H., PH.D.",10569084,MD007592,Zhang J
81,8271658,JoAnn,Umilani,Tsark,True,JoAnn Umilani Tsark,,10707374,MD007601,Tsark UJ
6,6091247,John,,Billimek,False,John  Billimek,ASSOCIATE PROFESSOR,10545085,MD017433,Billimek J
