authorId,author,aliases,projectSerialNum,doi
2143229837,Mason C,"Christopher E Mason, C Mason, C E Mason, Christopher E Mason, Christopher Mason",DA053941,doi:10.1101/2022.03.14.22272314
2143229837,Mason C,"Christopher E Mason, C Mason, C E Mason, Christopher E Mason, Christopher Mason",DA053941,doi:10.1016/j.scitotenv.2023.161423
2093301251,Mason CE,"Christopher E Mason, Christopher Mason",DA053941,doi:10.1016/j.xcrm.2022.100522
2093301251,Mason CE,"Christopher E Mason, Christopher Mason",DA053941,doi:10.1186/s40168-022-01332-w
2055781968,Mason CE,"Christopher E Mason, Christopher Mason",DA053941,doi:10.1186/s13059-021-02529-2
2055781968,Mason CE,"Christopher E Mason, Christopher Mason",DA053941,doi:10.1186/s40168-021-01020-1
4318246,McCrindle B,"B Mccrindle, B Mccrindle, Brian W Mccrindle, Brian Mccrindle, Brian W Mccrindle, B W Mccrindle, B W Mccrindle, B W Mccrindle",HD105591,doi:10.1016/j.cjca.2023.06.001
4318246,McCrindle B,"B Mccrindle, B Mccrindle, Brian W Mccrindle, Brian Mccrindle, Brian W Mccrindle, B W Mccrindle, B W Mccrindle, B W Mccrindle",HD105591,doi:10.1016/j.cjca.2022.11.011
4318246,McCrindle B,"B Mccrindle, B Mccrindle, Brian W Mccrindle, Brian Mccrindle, Brian W Mccrindle, B W Mccrindle, B W Mccrindle, B W Mccrindle",HD105591,doi:10.1056/NEJMc2215074
4270772,Munger S,"Stevend Munger, Steven D Munger, Steven D Munger, S D Munger, Steven Munger, S D Munger",DC019573,doi:10.1101/2023.03.27.23287763
4270772,Munger S,"Stevend Munger, Steven D Munger, Steven D Munger, S D Munger, Steven Munger, S D Munger",DC019573,doi:10.1093/chemse/bjac036
4270772,Munger S,"Stevend Munger, Steven D Munger, Steven D Munger, S D Munger, Steven Munger, S D Munger",DC019573,doi:10.1016/j.physbeh.2023.114331
7019600,Nantz M,"M H Nantz, M H Nantz, Michael\u2005h Nantz, Mike Nantz, Michael Hobart Nantz, Michael Nantz*, Michael H Nantz, Michael H Nantz, Michael Nantz",TR003787,doi:10.1021/acs.analchem.2c04604
34838642,Noble R,"Rachel Noble, Rachel T Noble, R T Noble, Rt Noble, R T Noble, Rachel T Noble",DA053899,doi:10.1371/journal.pone.0270659
1397958221,Ohno-Machado L,"L Ohno-machado, L Ohno-machado, Lucila Ohno‐machado, Lucila Ohno-machado",LM013755,doi:10.1016/j.jbi.2023.104322
1397958221,Ohno-Machado L,"L Ohno-machado, L Ohno-machado, Lucila Ohno‐machado, Lucila Ohno-machado",LM013755,doi:10.1016/j.cgh.2022.10.029
1397958221,Ohno-Machado L,"L Ohno-machado, L Ohno-machado, Lucila Ohno‐machado, Lucila Ohno-machado",LM013755,doi:10.1016/j.cgh.2022.05.008
1397958221,Ohno-Machado L,"L Ohno-machado, L Ohno-machado, Lucila Ohno‐machado, Lucila Ohno-machado",LM013755,doi:10.14309/ctg.0000000000000507
1397958221,Ohno-Machado L,"L Ohno-machado, L Ohno-machado, Lucila Ohno‐machado, Lucila Ohno-machado",LM013755,doi:10.14309/ajg.0000000000001855
1397958221,Ohno-Machado L,"L Ohno-machado, L Ohno-machado, Lucila Ohno‐machado, Lucila Ohno-machado",LM013755,doi:10.1093/jamia/ocad049
1397958221,Ohno-Machado L,"L Ohno-machado, L Ohno-machado, Lucila Ohno‐machado, Lucila Ohno-machado",LM013755,doi:10.1109/ICHI54592.2022.00070
4499739,Parma V,"V Parma, V Parma, Valentina Parma",DC019578,doi:10.1101/2022.03.23.22272807
4499739,Parma V,"V Parma, V Parma, Valentina Parma",DC019578,doi:10.1093/chemse/bjab012
