id,name,fullName,firstName,middleName,lastName,orcid,profileId
s2authorid:89896472,Boyd AA,Alicia A Boyd,Alicia,A,Boyd,,
s2authorid:2086126175,Boza J,J Boza,J,,Boza,,
s2authorid:4785493,Bram Y,Y Bram,Y,,Bram,,
s2authorid:1388667898,Branco G,G Branco,G,,Branco,,
s2authorid:2129600418,Brazer N,N Brazer,N,,Brazer,,
s2authorid:1404194028,Brengel-Pesce K,K Brengel-Pesce,K,,Brengel-Pesce,,
s2authorid:4639476,Breschi A,A Breschi,A,,Breschi,,
s2authorid:38184485,Bricker T,T Bricker,T,,Bricker,,
s2authorid:5423540,Brimacombe M,M Brimacombe,M,,Brimacombe,,
s2authorid:6543977,Brindefalk B,B Brindefalk,B,,Brindefalk,,
s2authorid:48722853,Brion C,Christian Brion,Christian,,Brion,,
s2authorid:46176358,Briones A,A Briones,A,,Briones,,
s2authorid:40084406,Britt W,W Britt,W,,Britt,,
s2authorid:46965816,Broderick L,L Broderick,L,,Broderick,,
s2authorid:40644627,Brody D,D Brody,D,,Brody,,
s2authorid:5575752,Bromert K,K Bromert,K,,Bromert,,
s2authorid:1576233359,Brooks A,Andrew Brooks,Andrew,,Brooks,,
s2authorid:2059454950,Brooks AW,Andrew W Brooks,Andrew,W,Brooks,,
s2authorid:2115082916,Brown P,Philip Brown,Philip,,Brown,,
s2authorid:10198489,Bruiners N,N Bruiners,N,,Bruiners,,
s2authorid:1472899485,Bruinsma S,Steve Bruinsma,Steve,,Bruinsma,,
s2authorid:6037451,Bruylants G,G Bruylants,G,,Bruylants,,
s2authorid:88588135,Bryl AW,Amy W Bryl,Amy,W,Bryl,,
s2authorid:2106107100,Buczansla P,Paulina Buczansla,Paulina,,Buczansla,,
s2authorid:40593580,Bull R,R Bull,R,,Bull,,
s2authorid:3696623,Burbelo P,P Burbelo,P,,Burbelo,,
s2authorid:2253973087,Burcu M,Mehmet Burcu,Mehmet,,Burcu,,
s2authorid:2057381048,Burke CM,Catherine M Burke,Catherine,M,Burke,,
s2authorid:51297118,Burrell A,A Burrell,A,,Burrell,,
s2authorid:1845927487,Burudpakdee C,C Burudpakdee,C,,Burudpakdee,,
s2authorid:2235824,Busch N,N Busch,N,,Busch,,
s2authorid:2388592,Bushman F,F Bushman,F,,Bushman,,
s2authorid:8078574,Bushnell G,G Bushnell,G,,Bushnell,,
s2authorid:2238942812,Bushnell G,Greta Bushnell,Greta,,Bushnell,,
s2authorid:1849598,Butler D,D Butler,D,,Butler,,
s2authorid:16701678,Butova A,A Butova,A,,Butova,,
s2authorid:117874239,Buttar I,Irvind Buttar,Irvind,,Buttar,,
s2authorid:1716151,Butte A,A Butte,A,,Butte,,
s2authorid:2106106407,Bynoe J,Jalia Bynoe,Jalia,,Bynoe,,
s2authorid:1401942319,Byrska-Bishop M,M Byrska-Bishop,M,,Byrska-Bishop,,
s2authorid:2091547733,Bönigk S,Sven Bönigk,Sven,,Bönigk,,
s2authorid:1402172637,Bøifot KO,K O Bøifot,K,O,Bøifot,,
s2authorid:2106105606,Caballero H,Hiram Caballero,Hiram,,Caballero,,
s2authorid:2153838282,Cahill J,Jeremy Cahill,Jeremy,,Cahill,,
s2authorid:1674786212,Cai X,Xiaoyan Cai,Xiaoyan,,Cai,,
s2authorid:39746284,Calderón D,Dayana Calderón,Dayana,,Calderón,,
s2authorid:1901873851,Campbell MA,Matthew A Campbell,Matthew,A,Campbell,,
s2authorid:2627536,Campion T,T Campion,T,,Campion,,
s2authorid:4628098,Canna S,S Canna,S,,Canna,,
s2authorid:2058272803,Cano N,N Cano,N,,Cano,,
s2authorid:119574174,Cantillo A,Angela Cantillo,Angela,,Cantillo,,
s2authorid:10115163,Carayannopoulos M,M Carayannopoulos,M,,Carayannopoulos,,
s2authorid:49459237,Carbajo M,M Carbajo,M,,Carbajo,,
s2authorid:37976122,Carbone A,A Carbone,A,,Carbone,,
s2authorid:4067688,Cardentey Y,Yoslayma Cardentey,Yoslayma,,Cardentey,,
s2authorid:12149727,Cardle II,Ian I Cardle,Ian,I,Cardle,,
s2authorid:4193340,Carlin A,A Carlin,A,,Carlin,,
s2authorid:2106104817,Carrillo K,Katerine Carrillo,Katerine,,Carrillo,,
s2authorid:3837523,Carrol E,E Carrol,E,,Carrol,,
s2authorid:145431763,Carson J,J Carson,J,,Carson,,
s2authorid:2159439364,Carson KJ,Kyle J Carson,Kyle,J,Carson,,
s2authorid:145937317,Carter M,M Carter,M,,Carter,,
s2authorid:2106106803,Casalot L,Laurie Casalot,Laurie,,Casalot,,
s2authorid:145372644,Casanova J,J Casanova,J,,Casanova,,
s2authorid:1446635496,Casso-Hartmann L,L Casso-Hartmann,L,,Casso-Hartmann,,
s2authorid:67014498,Castagnoli R,R Castagnoli,R,,Castagnoli,,
s2authorid:12462001,Castillo WC,W Camelo Castillo,W,Camelo,Castillo,,
s2authorid:2107379821,Castro A,A Castro,A,,Castro,,
s2authorid:37249036,Castro A,A Castro,A,,Castro,,
s2authorid:2066312687,Castro S,S Castro,S,,Castro,,
s2authorid:1397724909,Castro-Nallar E,E Castro-Nallar,E,,Castro-Nallar,,
s2authorid:47656636,Cates J,J Cates,J,,Cates,,
s2authorid:1967225,Cavalcante R,R Cavalcante,R,,Cavalcante,,
s2authorid:2983102,Cawthorne S,S Cawthorne,S,,Cawthorne,,
s2authorid:113888901,Cañas AM,Ana M Cañas,Ana,M,Cañas,,
s2authorid:2090768155,Cecil A,Alan Cecil,Alan,,Cecil,,
s2authorid:2051247782,Cedillo J,J Cedillo,J,,Cedillo,,
s2authorid:2081663868,Celis D,Diego Celis,Diego,,Celis,,
s2authorid:47443055,Celli A,A Celli,A,,Celli,,
s2authorid:2117385949,Cha K,Kexin Cha,Kexin,,Cha,,
s2authorid:6305755,Chahroudi A,A Chahroudi,A,,Chahroudi,,
s2authorid:144635887,Chaker S,Salama Chaker,Salama,,Chaker,,
s2authorid:1852772,Chakrabarty R,R Chakrabarty,R,,Chakrabarty,,
s2authorid:9801536,Chakraborty B,B Chakraborty,B,,Chakraborty,,
s2authorid:22760342,Chakraborty P,Pranay Chakraborty,Pranay,,Chakraborty,,
s2authorid:2106106730,Chalangal J,Jasna Chalangal,Jasna,,Chalangal,,
s2authorid:2106107390,Chan A,Allison Chan,Allison,,Chan,,
s2authorid:46620492,Chan AY,Alice Y Chan,Alice,Y,Chan,,
s2authorid:79991914,Chan C,C Chan,C,,Chan,,
s2authorid:2028913940,Chan J,Jason Chan,Jason,,Chan,,
s2authorid:1742399835,Chandar V,Vasuretha Chandar,Vasuretha,,Chandar,,
s2authorid:4963992,Chandrasekaran A,A Chandrasekaran,A,,Chandrasekaran,,
s2authorid:2067687908,Chang A,Adrienne Chang,Adrienne,,Chang,,
s2authorid:35799249,Chang CB,Connie B Chang,Connie,B,Chang,,
s2authorid:50319306,Chang JC,Joyce C Chang,Joyce,C,Chang,,
s2authorid:2180979391,Chang Y,Yu-Ci Chang,Yu-Ci,,Chang,,
s2authorid:2215392285,Chapman AR,Ainsley R Chapman,Ainsley,R,Chapman,,
s2authorid:5070945,Chasapi A,A Chasapi,A,,Chasapi,,
s2authorid:1924831775,Chase J,Julie Chase,Julie,,Chase,,
s2authorid:48847000,Chase JM,Julie M Chase,Julie,M,Chase,,
s2authorid:5286168,Chatziefthimiou A,A Chatziefthimiou,A,,Chatziefthimiou,,
s2authorid:2106105889,Chatziefthimiou S,Starr Chatziefthimiou,Starr,,Chatziefthimiou,,
s2authorid:3482098,Chaudhuri S,S Chaudhuri,S,,Chaudhuri,,
s2authorid:2106107687,Chaudhuri SR,Sreya Ray Chaudhuri,Sreya,Ray,Chaudhuri,,
s2authorid:2116872403,Chauhan A,A Chauhan,A,,Chauhan,,
s2authorid:47184921,Chauhan N,N Chauhan,N,,Chauhan,,
s2authorid:2149601429,Chauhan N,Neha Chauhan,Neha,,Chauhan,,
s2authorid:90922489,Chavan A,A Chavan,A,,Chavan,,
s2authorid:2102597848,Chavez F,F Chavez,F,,Chavez,,
s2authorid:2236896998,Chavez S,Saul Chavez,Saul,,Chavez,,
s2authorid:2106104800,Chem G,Gregory Chem,Gregory,,Chem,,
s2authorid:2111003563,Chen AA,Amanda A Chen,Amanda,A,Chen,,
s2authorid:2156361744,Chen F,Fei Chen,Fei,,Chen,,
s2authorid:2115896144,Chen J,Jenn-Wei Chen,Jenn-Wei,,Chen,,
s2authorid:1753366860,Chen L,Luyao Chen,Luyao,,Chen,,
s2authorid:2048066475,Chen M,Michelle Chen,Michelle,,Chen,,
s2authorid:2120245652,Chen PL,Peter L Chen,Peter,L,Chen,,
s2authorid:2109216276,Chen X,Xinpu Chen,Xinpu,,Chen,,
s2authorid:1445364386,Chen X,Xiaoqing Chen,Xiaoqing,,Chen,,
s2authorid:95487088,Chen X,Xiangshan Chen,Xiangshan,,Chen,,
s2authorid:2118427167,Chen Y,Ying Chen,Ying,,Chen,,
s2authorid:2144171809,Chen Z,Zhong Chen,Zhong,,Chen,,
s2authorid:2234502957,Chen Z,Zeyu Chen,Zeyu,,Chen,,
s2authorid:13876995,Cheng AP,A P Cheng,A,P,Cheng,,
s2authorid:144131617,Cheng EL,Emmeline L Cheng,Emmeline,L,Cheng,,
s2authorid:47413673,Cheng H,Haoyu Cheng,Haoyu,,Cheng,,
s2authorid:2143499262,Cheng Y,Yong Cheng,Yong,,Cheng,,
s2authorid:38071659,Cherif A,A Cherif,A,,Cherif,,
s2authorid:2894214,Chernomoretz A,A Chernomoretz,A,,Chernomoretz,,
s2authorid:2106103702,Chettouh A,Allaeddine Chettouh,Allaeddine,,Chettouh,,
s2authorid:2065541462,Cheung D,Daisy Cheung,Daisy,,Cheung,,
s2authorid:2035576814,Chew BS,B S Chew,B,S,Chew,,
s2authorid:6151111,Chhabra P,P Chhabra,P,,Chhabra,,
s2authorid:1870503405,Chhugani K,Karishma Chhugani,Karishma,,Chhugani,,
s2authorid:5817977,Chiang C,Chi-Ling Chiang,Chi-Ling,,Chiang,,
s2authorid:2106104491,Chicas D,Diana Chicas,Diana,,Chicas,,
s2authorid:120988882,Chin C,Chen-Shan Chin,Chen-Shan,,Chin,,
s2authorid:4860759,Chiorini J,J Chiorini,J,,Chiorini,,
s2authorid:3200934,Chittur S,S Chittur,S,,Chittur,,
s2authorid:2320664,Chiu C,C Chiu,C,,Chiu,,
s2authorid:2065563814,Chiu CY,C Y Chiu,C,Y,Chiu,,
s2authorid:1999670559,Chiu S,S Chiu,S,,Chiu,,
s2authorid:3469363,Chng KR,Kern Rei Chng,Kern,Rei,Chng,,
s2authorid:2184490951,Chou W,Wei–Chun Chou,Wei–Chun,,Chou,,
s2authorid:152211440,Choudhary A,A Choudhary,A,,Choudhary,,
s2authorid:6921762,Choudhry H,H Choudhry,H,,Choudhry,,
s2authorid:12557016,Choueiter N,N Choueiter,N,,Choueiter,,
s2authorid:32705137,Chowdhury R,R Chowdhury,R,,Chowdhury,,
