researchInitiative,dbgapAccession,projectNum,contactPi,dataPi,coPi,comments,subProject,contactPiOrcid,dataPiOrcid,coPiOrcid
RADx-rad,phs002744.v1.p1,1U01AA029345-01,"Salaita, Khalid S","Salaita, Khalid S",,,Automatic Detection & Tracing,https://orcid.org/0000-0003-4138-3477,https://orcid.org/0000-0003-4138-3477,
RADx-rad,phs002747.v1.p1,1U18TR003812-01,"Fan, Xudong","Fan, Xudong","Ward, Kevin",,SCENT,https://orcid.org/0000-0003-0149-1326,https://orcid.org/0000-0003-0149-1326,https://orcid.org/0000-0001-5939-409X
RADx-rad,phs002778.v1.p1,1U18TR003793-01,"Stott, Shannon L","Stott, Shannon L","Boland, Genevieve Marie",,Exosome,https://orcid.org/0000-0002-0349-0522,https://orcid.org/0000-0002-0349-0522,https://orcid.org/0000-0002-7522-6173
RADx-rad,phs002781.v1.p1,1R61HD105618-01,"Chiu, Charles Yen","Chiu, Charles Yen","De Vlaminck, Iwijn",,PreVAIL kIds,https://orcid.org/0000-0003-2915-2094,https://orcid.org/0000-0003-2915-2094,https://orcid.org/0000-0001-6085-7311
RADx-rad,phs002781.v1.p1,1R61HD105618-01,"Chiu, Charles Yen","Chiu, Charles Yen","Debiasi, Roberta Lynn",,PreVAIL kIds,https://orcid.org/0000-0003-2915-2094,https://orcid.org/0000-0003-2915-2094,https://orcid.org/0000-0002-5854-8875
RADx-rad,phs002781.v1.p1,1R61HD105618-01,"Chiu, Charles Yen","Chiu, Charles Yen","Rostad, Christina Allen",,PreVAIL kIds,https://orcid.org/0000-0003-2915-2094,https://orcid.org/0000-0003-2915-2094,https://orcid.org/0000-0001-8439-0592
RADx-rad,phs002782.v1.p1,1ZIAES103366-01,"Bell, Douglas","Bell, Douglas",,,Diagnostic-Prognostic RNAseq,https://orcid.org/0000-0001-7700-0840,https://orcid.org/0000-0001-7700-0840,
RADx-rad,phs002924.v1.p1,3U01HL152401-02S1,"Ho, Rodney J Y","MacKenzie, J Devin",,,Novel Biosensing and VOC,https://orcid.org/0000-0001-5960-4288,https://orcid.org/0000-0002-3884-5127,
RADx-rad,phs002945.v1.p1,1R61HD105591-01,"Manlhiot, Cedric","Manlhiot, Cedric","Dahdah, Nagib",,PreVAIL kIds,https://orcid.org/0000-0001-9419-7681,https://orcid.org/0000-0001-9419-7681,https://orcid.org/0000-0001-7715-3169
RADx-rad,phs002945.v1.p1,1R61HD105591-01,"Manlhiot, Cedric","Manlhiot, Cedric","Giglia, Therese M",,PreVAIL kIds,https://orcid.org/0000-0001-9419-7681,https://orcid.org/0000-0001-9419-7681,https://orcid.org/0000-0002-1571-6330
RADx-rad,phs002945.v1.p1,1R61HD105591-01,"Manlhiot, Cedric","Manlhiot, Cedric","Kutty, Shelby",,PreVAIL kIds,https://orcid.org/0000-0001-9419-7681,https://orcid.org/0000-0001-9419-7681,https://orcid.org/0000-0001-9428-0979
RADx-rad,phs002945.v1.p1,1R61HD105591-01,"Manlhiot, Cedric","Manlhiot, Cedric","McCrindle, Brian W",,PreVAIL kIds,https://orcid.org/0000-0001-9419-7681,https://orcid.org/0000-0001-9419-7681,https://orcid.org/0000-0001-6485-6551
RADx-rad,phs002964.v1.p1,4U01DC019579-03,"Albers, Mark W","Albers, Mark W",,,Chemosensory Testing,https://orcid.org/0000-0001-7855-3455,https://orcid.org/0000-0001-7855-3455,
RADx-rad,phs003124.v1.p1,1U18TR003780-01,"Das, Samarjit","Das, Samarjit",,,Exosome,https://orcid.org/0000-0002-4377-2823,https://orcid.org/0000-0002-4377-2823,
RADx-rad,,1U01DA053976-01,"Conroy-Ben, Otakuye",,"Halden, Rolf U",AI/AN governed by the Tribal Data Repository,Wastewater,https://orcid.org/0000-0001-8086-1625,,https://orcid.org/0000-0001-5232-7361
RADx-rad,,1U01DA053976-01,"Conroy-Ben, Otakuye",,"Hamilton, Kerry",AI/AN governed by the Tribal Data Repository,Wastewater,https://orcid.org/0000-0001-8086-1625,,https://orcid.org/0000-0003-2991-7325
RADx-rad,,1U24LM013755-01,"Ohno-Machado, Lucila",,"Aronoff-Spencer, Eliah S",RADx-rad Data Coordination Center,Data Coordinating Center,https://orcid.org/0000-0002-8005-7327,,https://orcid.org/0000-0002-6279-5027
RADx-rad,,1U24LM013755-01,"Ohno-Machado, Lucila",,"Xu, Hua",RADx-rad Data Coordination Center,Data Coordinating Center,https://orcid.org/0000-0002-8005-7327,,https://orcid.org/0000-0002-5274-4672
